replicate,pos,y_bin,y_um,median_intensity,median_corrected_intensity,corrected_intensity,bg_value,concentration,fitted_concentration
replicate_4,pos18,22,33.75,188.06562911725956,26.736033106297494,1.9618207634512146,186.10380835380835,0.716265119750946,0.6120166345988994
replicate_4,pos18,23,35.25,186.10380835380835,24.774212342846283,0.0,186.10380835380835,0.0,0.4753774680203145
replicate_4,pos18,24,36.75,186.56363636363636,25.2340403526743,0.45982800982801564,186.10380835380835,0.19932124236805895,0.36924443387416833
replicate_4,pos18,25,38.25,188.28235294117647,26.95275693021441,2.1785445873681226,186.10380835380835,0.785675207975617,0.2868067163079499
replicate_4,pos18,26,39.75,188.12280701754383,26.79321100658177,2.0189986637354878,186.10380835380835,0.7346594387577471,0.22277408577002328
replicate_4,pos18,27,41.25,190.91905354919055,29.589457538228473,4.815245195382204,186.10380835380835,1.5838627667571263,0.17303741206681378
replicate_4,pos18,28,42.75,194.96059113300493,33.63099512204286,8.856782779196578,186.10380835380835,2.719723034424988,0.13440497144865018
replicate_4,pos18,29,44.25,198.5483870967742,37.21879108581214,12.44457874296586,186.10380835380835,3.682530012927952,0.10439762590633343
replicate_4,pos18,30,45.75,197.1782407407407,35.848644729778655,11.074432386932358,186.10380835380835,3.3185069402135072,0.08108973083396336
replicate_4,pos18,31,47.25,201.3548387096774,40.025242698715346,15.251030355869062,186.10380835380835,4.417100980909139,0.06298556171443098
replicate_4,pos18,32,48.75,209.73655913978493,48.406963128822866,23.632750785976583,186.10380835380835,6.550793424860092,0.048923329826365866
replicate_4,pos18,33,50.25,216.7929577464789,55.46336173551681,30.689149392670544,186.10380835380835,8.304532875007414,0.0380006274261711
replicate_4,pos18,34,51.75,222.99657089898056,61.66697488801847,36.89276254517222,186.10380835380835,9.828078838201867,0.029516518040504713
replicate_4,pos19,0,0.75,330.23043478260865,168.90083877164662,121.6861309851403,208.54430379746836,30.793116484140764,95.20088719901139
replicate_4,pos19,1,2.25,384.8594276094276,223.52983159846556,176.31512381195924,208.54430379746836,45.509681975293425,85.5066918896066
replicate_4,pos19,2,3.75,393.3717008797654,232.04210486880336,184.82739708229704,208.54430379746836,47.93581070751045,76.7900756054475
replicate_4,pos19,3,5.25,413.8094758064516,252.47987979548952,205.26517200898323,208.54430379746836,53.933265679870054,68.95138320771164
replicate_4,pos19,4,6.75,415.3333333333333,254.00373732237125,206.78902953586496,208.54430379746836,54.39074429987368,61.90099666646433
replicate_4,pos19,5,8.25,411.6938775510204,250.36428154005836,203.14957375355206,208.54430379746836,53.300588500841,55.558310477618264
replicate_4,pos19,6,9.75,395.8888888888889,234.55929287792685,187.34458509142056,208.54430379746836,48.66106962164204,49.85081011810038
replicate_4,pos19,7,11.25,382.0639880952381,220.73439208427604,173.51968429776971,208.54430379746836,44.72161370877304,44.713243003408266
replicate_4,pos19,8,12.75,347.80645161290323,186.47685560194117,139.26214781543487,208.54430379746836,35.38226064622006,40.08687246929816
replicate_4,pos19,9,14.25,343.8181818181818,182.48858580721975,135.27387802071345,208.54430379746836,34.329964856416744,35.918806248542616
replicate_4,pos19,10,15.75,360.740771123872,199.41117511290992,152.19646732640362,208.54430379746836,38.84273446865689,32.161391765381744
replicate_4,pos19,11,17.25,382.0761140819964,220.74651807103436,173.53181028452806,208.54430379746836,44.72502310883512,28.771671334203823
replicate_4,pos19,12,18.75,336.17931688804555,174.84972087708348,127.63501309057719,208.54430379746836,32.33269891732449,25.71089103386261
replicate_4,pos19,13,20.25,277.35526315789474,116.02566714693268,68.81095936042638,208.54430379746836,17.590857278278868,22.944057642700525
replicate_4,pos19,14,21.75,280.47858796296293,119.1489919520009,71.93428416549457,208.54430379746836,18.352875852260144,20.43953856881422
replicate_4,pos19,15,23.25,258.54354765161884,97.21395164065676,49.99924385415048,208.54430379746836,13.019280548896392,18.16870020165401
replicate_4,pos19,16,24.75,260.5544176706827,99.22482165972067,52.01011387321435,208.54430379746836,13.507452376557634,16.105580550311327
replicate_4,pos19,17,26.25,250.61397849462367,89.28438248366159,42.06967469715531,208.54430379746836,11.091533909229817,14.226592425840446
